"COU","Country","SIZE","FirmSize","PROFIT","ProfitScenario","YEAR","Year","Value","Flag Codes","Flags"
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2002","2002",-0.01,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2003","2003",-0.01,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2004","2004",-0.01,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2005","2005",-0.01,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2006","2006",0.05,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2007","2007",0.04,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2008","2008",0.04,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2009","2009",0.04,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2010","2010",0.08,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2011","2011",0.08,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2012","2012",0.2,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2013","2013",0.19,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2014","2014",0.19,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2015","2015",0.19,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2016","2016",0.19,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2017","2017",0.21,,
"SVN","Slovenia","LARGE","Large firm","PROFITABLE","Profitable","2018","2018",0.21,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2002","2002",-0.02,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2003","2003",-0.02,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2004","2004",-0.02,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2005","2005",0.3,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2006","2006",0.27,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2007","2007",0.27,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2008","2008",0.23,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2009","2009",0.21,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2010","2010",0.2,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2011","2011",0.2,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2012","2012",0.2,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2013","2013",0.2,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2014","2014",0.21,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2015","2015",0.21,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2016","2016",0.21,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2017","2017",0.21,,
"CZE","Czech Republic","LARGE","Large firm","PROFITABLE","Profitable","2018","2018",0.21,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2002","2002",0.08,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2003","2003",0.08,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2004","2004",0.15,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2005","2005",0.15,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2006","2006",0.21,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2007","2007",0.21,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2008","2008",0.43,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2009","2009",0.43,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2010","2010",0.43,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2011","2011",0.44,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2012","2012",0.44,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2013","2013",0.45,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2014","2014",0.45,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2015","2015",0.45,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2016","2016",0.43,,
"FRA","France","LARGE","Large firm","PROFITABLE","Profitable","2017","2017",0.43,,
