economy;YEAR;INDICATOR
CZE;YR2002;1460.55590820313
CZE;YR2003;1543.97790527344
CZE;YR2004;1591.8515625
CZE;YR2005;2356.08056640625
CZE;YR2006;2550.56713867188
CZE;YR2007;2691.54931640625
CZE;YR2008;2857.02221679688
CZE;YR2009;2742.0751953125
CZE;YR2010;2773.9599609375
CZE;YR2011;2903.66162109375
CZE;YR2012;3139.2353515625
CZE;YR2013;3237.23583984375
CZE;YR2014;3402.826171875
CZE;YR2015;3592.07373046875
CZE;YR2016;3516.17163085938
CZE;YR2017;3682.03344726563
CZE;YR2018;3862.68334960938
DEU;YR2002;3260.09204101563
DEU;YR2003;3295.27709960938
DEU;YR2004;3309.57348632813
DEU;YR2005;3335.03491210938
DEU;YR2006;3434.5693359375
DEU;YR2007;3578.50341796875
DEU;YR2008;3733.27807617188
DEU;YR2009;3922.21459960938
DEU;YR2010;4058.00024414063
DEU;YR2011;4188.8115234375
DEU;YR2012;4352.32275390625
DEU;YR2013;4366.6865234375
DEU;YR2014;4320.7041015625
DEU;YR2015;4743.7861328125
DEU;YR2016;4861.7431640625
DEU;YR2017;5076.51904296875
DEU;YR2018;5217.30029296875
FRA;YR2002;3117.2119140625
FRA;YR2003;3199.74829101563
FRA;YR2004;3334.1669921875
FRA;YR2005;3313.25854492188
FRA;YR2006;3423.74853515625
FRA;YR2007;3585.80590820313
FRA;YR2008;3659.884765625
FRA;YR2009;3747.28466796875
FRA;YR2010;3873.01293945313
FRA;YR2011;3942.38891601563
FRA;YR2012;4073.25048828125
FRA;YR2013;4154.8154296875
FRA;YR2014;4233.63818359375
FRA;YR2015;4336.01416015625
FRA;YR2016;4414.69873046875
FRA;YR2017;4569.90771484375
FRA;YR2018;4699.74169921875
GBR;YR2002;3340.2216796875
GBR;YR2003;3638.09033203125
GBR;YR2004;3824.26196289063
GBR;YR2005;4123.53173828125
GBR;YR2006;4176.3125
GBR;YR2007;4111.140625
GBR;YR2008;4053.92724609375
GBR;YR2009;4076.55200195313
GBR;YR2010;4043.26708984375
GBR;YR2011;3926.11791992188
GBR;YR2012;3969.85913085938
GBR;YR2013;4119.451171875
GBR;YR2014;4227.6201171875
GBR;YR2015;4319.50146484375
GBR;YR2016;4357.93310546875
GBR;YR2017;4434.9658203125
GBR;YR2018;4554.4658203125
MLT;YR2002;682.186401367188
MLT;YR2003;688.521423339844
MLT;YR2004;1082.37731933594
MLT;YR2005;1183.73022460938
MLT;YR2006;1282.21533203125
MLT;YR2007;1206.31994628906
MLT;YR2008;1321.15234375
MLT;YR2009;1200.33435058594
MLT;YR2010;1417.00842285156
MLT;YR2011;1785.91088867188
MLT;YR2012;1986.68115234375
MLT;YR2013;1886.65515136719
MLT;YR2014;1831.71899414063
MLT;YR2015;1891.32275390625
MLT;YR2016;2054.5888671875
MLT;YR2017;2130.462890625
MLT;YR2018;2062.6162109375
ROU;YR2002;928.281982421875
ROU;YR2003;965.221313476563
ROU;YR2004;985.128967285156
ROU;YR2005;1071.93762207031
ROU;YR2006;895.767517089844
ROU;YR2007;894.163330078125
ROU;YR2008;931.082580566406
ROU;YR2009;933.763366699219
ROU;YR2010;966.204162597656
ROU;YR2011;790.688049316406
ROU;YR2012;890.669982910156
ROU;YR2013;922.674560546875
ROU;YR2014;903.826293945313
ROU;YR2015;876.228210449219
ROU;YR2016;911.585205078125
ROU;YR2017;891.321228027344
ROU;YR2018;882.441284179688
SVN;YR2002;2335.87133789063
SVN;YR2003;1899.02514648438
SVN;YR2004;2024.89978027344
SVN;YR2005;2633.11450195313
SVN;YR2006;2924.9462890625
SVN;YR2007;3106.1796875
SVN;YR2008;3475.93627929688
SVN;YR2009;3661.11962890625
SVN;YR2010;3769.81372070313
SVN;YR2011;4277.314453125
SVN;YR2012;4317.18359375
SVN;YR2013;4220.32763671875
SVN;YR2014;4147.0615234375
SVN;YR2015;3814.2158203125
SVN;YR2016;3914.26123046875
SVN;YR2017;4479.400390625
SVN;YR2018;4845.42333984375
