"country_code";"year";"index_"
"CZE";"2002";0.20154
"CZE";"2003";0.21475
"CZE";"2004";0.22616
"CZE";"2005";0.44589
"CZE";"2006";0.45985
"CZE";"2007";0.49031
"CZE";"2008";0.48212
"CZE";"2009";0.47643
"CZE";"2010";0.49741
"CZE";"2011";0.53524
"CZE";"2012";0.57356
"CZE";"2013";0.59179
"CZE";"2014";0.63272
"CZE";"2015";0.65736
"CZE";"2016";0.62984
"CZE";"2017";0.64948
"CZE";"2018";0.65281
"DEU";"2002";0.45307
"DEU";"2003";0.45469
"DEU";"2004";0.46281
"DEU";"2005";0.48061
"DEU";"2006";0.49125
"DEU";"2007";0.50608
"DEU";"2008";0.5381
"DEU";"2009";0.56664
"DEU";"2010";0.57665
"DEU";"2011";0.60046
"DEU";"2012";0.62455
"DEU";"2013";0.62138
"DEU";"2014";0.6268
"DEU";"2015";0.64949
"DEU";"2016";0.65837
"DEU";"2017";0.67786
"DEU";"2018";0.68408
"FRA";"2002";0.47249
"FRA";"2003";0.47388
"FRA";"2004";0.52017
"FRA";"2005";0.525
"FRA";"2006";0.56685
"FRA";"2007";0.57679
"FRA";"2008";0.70219
"FRA";"2009";0.7236
"FRA";"2010";0.72793
"FRA";"2011";0.74156
"FRA";"2012";0.75574
"FRA";"2013";0.76765
"FRA";"2014";0.77382
"FRA";"2015";0.77148
"FRA";"2016";0.76273
"FRA";"2017";0.76666
"FRA";"2018";0.76458
"GBR";"2002";0.51197
"GBR";"2003";0.52627
"GBR";"2004";0.54054
"GBR";"2005";0.57157
"GBR";"2006";0.58285
"GBR";"2007";0.58854
"GBR";"2008";0.58852
"GBR";"2009";0.59902
"GBR";"2010";0.59312
"GBR";"2011";0.57999
"GBR";"2012";0.58015
"GBR";"2013";0.59301
"GBR";"2014";0.59942
"GBR";"2015";0.60856
"GBR";"2016";0.60909
"GBR";"2017";0.61272
"GBR";"2018";0.62365
"MLT";"2002";0.06111
"MLT";"2003";0.14514
"MLT";"2004";0.18274
"MLT";"2005";0.19652
"MLT";"2006";0.20948
"MLT";"2007";0.21071
"MLT";"2008";0.24143
"MLT";"2009";0.22664
"MLT";"2010";0.25566
"MLT";"2011";0.28448
"MLT";"2012";0.32549
"MLT";"2013";0.32783
"MLT";"2014";0.31832
"MLT";"2015";0.33088
"MLT";"2016";0.32992
"MLT";"2017";0.352
"MLT";"2018";0.35459
"ROU";"2002";0.03595
"ROU";"2003";0.04143
"ROU";"2004";0.04323
"ROU";"2005";0.05995
"ROU";"2006";0.05541
"ROU";"2007";0.07167
"ROU";"2008";0.09216
"ROU";"2009";0.0972
"ROU";"2010";0.15639
"ROU";"2011";0.14838
"ROU";"2012";0.15484
"ROU";"2013";0.14717
"ROU";"2014";0.14547
"ROU";"2015";0.16009
"ROU";"2016";0.15876
"ROU";"2017";0.16412
"ROU";"2018";0.15854
"SVN";"2002";0.32915
"SVN";"2003";0.31252
"SVN";"2004";0.31298
"SVN";"2005";0.38291
"SVN";"2006";0.44192
"SVN";"2007";0.46303
"SVN";"2008";0.52275
"SVN";"2009";0.55883
"SVN";"2010";0.60726
"SVN";"2011";0.69888
"SVN";"2012";0.76873
"SVN";"2013";0.75841
"SVN";"2014";0.73425
"SVN";"2015";0.70503
"SVN";"2016";0.67926
"SVN";"2017";0.71475
"SVN";"2018";0.72332
